measure_normalized,display_name,row_kind,unsupported_reason,year,threshold_key,threshold_label,actual,full_market_simulated,full_market_delta,client_simulated,client_delta,diff_simulated,inverted,sample_size_full_market,sample_size_client,mae_full_market,mae_client,tukey_applied,guardrails_applied,methodology_method,methodology_fold_count,methodology_seed,methodology_tukey_starts_year
care coordination partc,Care Coordination,threshold,,2026,twoStar,2★ Threshold,85,85,0,86,1,1,false,418,240,0,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2026,threeStar,3★ Threshold,86,86,0,87,1,1,false,418,240,0,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2026,fourStar,4★ Threshold,88,88,0,88,0,0,false,418,240,0,0.5,false,false,cahps-percentile,10,8675309,2024
care coordination partc,Care Coordination,threshold,,2026,fiveStar,5★ Threshold,89,89,0,89,0,0,false,418,240,0,0.5,false,false,cahps-percentile,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2023,twoStar,2★ Threshold,43,43,0,53,10,10,false,292,164,2.15,6.38,false,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2023,threeStar,3★ Threshold,70,72.8,2.8,76,6,3.2,false,292,164,2.15,6.38,false,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2023,fourStar,4★ Threshold,82,85.8,3.8,88.3,6.3,2.5,false,292,164,2.15,6.38,false,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2023,fiveStar,5★ Threshold,93,95,2,96.2,3.2,1.2,false,292,164,2.15,6.38,false,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2024,twoStar,2★ Threshold,48,48,0,48,0,0,false,310,176,0.15,0.05,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2024,threeStar,3★ Threshold,75,75,0,75,0,0,false,310,176,0.15,0.05,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2024,fourStar,4★ Threshold,87,87,0,87,0,0,false,310,176,0.15,0.05,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2024,fiveStar,5★ Threshold,98,97.4,-0.6,97.8,-0.2,0.4,false,310,176,0.15,0.05,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2025,twoStar,2★ Threshold,53,53,0,53,0,0,false,319,185,0.17,0.03,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2025,threeStar,3★ Threshold,80,80,0,80,0,0,false,319,185,0.17,0.03,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2025,fourStar,4★ Threshold,92,92,0,92,0,0,false,319,185,0.17,0.03,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2025,fiveStar,5★ Threshold,98,97.3,-0.7,98.1,0.1,0.8,false,319,185,0.17,0.03,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2026,twoStar,2★ Threshold,58,58,0,58,0,0,false,322,185,0.07,0.8,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2026,threeStar,3★ Threshold,85,85,0,85,0,0,false,322,185,0.07,0.8,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2026,fourStar,4★ Threshold,93,93.3,0.3,96,3,2.7,false,322,185,0.07,0.8,true,true,clustering,10,8675309,2024
care for older adults medication review partc,Care for Older Adults – Medication Review,threshold,,2026,fiveStar,5★ Threshold,98,98,0,98.2,0.2,0.2,false,322,185,0.07,0.8,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2023,twoStar,2★ Threshold,50,50,0,60,10,10,false,292,164,0.57,5.75,false,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2023,threeStar,3★ Threshold,71,71,0,80.8,9.8,9.8,false,292,164,0.57,5.75,false,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2023,fourStar,4★ Threshold,85,83.6,-1.4,88.1,3.1,4.5,false,292,164,0.57,5.75,false,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2023,fiveStar,5★ Threshold,94,93.1,-0.9,94.1,0.1,1,false,292,164,0.57,5.75,false,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2024,twoStar,2★ Threshold,55,55,0,55,0,0,false,314,178,0,0.3,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2024,threeStar,3★ Threshold,76,76,0,76,0,0,false,314,178,0,0.3,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2024,fourStar,4★ Threshold,90,90,0,89.8,-0.2,-0.2,false,314,178,0,0.3,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2024,fiveStar,5★ Threshold,96,96,0,95,-1,-1,false,314,178,0,0.3,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2025,twoStar,2★ Threshold,60,60,0,60,0,0,false,323,187,0.75,0.3,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2025,threeStar,3★ Threshold,81,81,0,81,0,0,false,323,187,0.75,0.3,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2025,fourStar,4★ Threshold,92,93.2,1.2,92.6,0.6,-0.6,false,323,187,0.75,0.3,true,true,clustering,10,8675309,2024
care for older adults pain assessment partc,Care for Older Adults – Pain Assessment,threshold,,2025,fiveStar,5★ Threshold,96,97.8,1.8,96.6,0.6,-1.2,false,323,187,0.75,0.3,true,true,clustering,10,8675309,2024
